1;nom0;44000 Nantes;287;9
2;nom1;33000 Bordeaux;874;21
3;nom2;59000 Lille;611;23
4;nom3;06000 Nice;276;85
5;nom4;13000 Marseille;740;47
6;nom5;59000 Lille;105;29
7;nom6;59000 Lille;568;74
8;nom7;44000 Nantes;508;76
9;nom8;34000 Montpellier;830;10
10;nom9;31000 Toulouse;190;71
11;nom10;69000 Lyon;187;69
12;nom11;69000 Lyon;383;45
13;nom12;67000 Strasbourg;51;37
14;nom13;67000 Strasbourg;429;3
15;nom14;13000 Marseille;862;11
16;nom15;67000 Strasbourg;444;79
17;nom16;33000 Bordeaux;418;24
18;nom17;75000 Paris;995;10
19;nom18;06000 Nice;139;80
20;nom19;13000 Marseille;239;35
21;nom20;69000 Lyon;518;18
22;nom21;69000 Lyon;233;16
23;nom22;13000 Marseille;350;77
24;nom23;44000 Nantes;662;50
25;nom24;75000 Paris;81;87
26;nom25;69000 Lyon;871;12
27;nom26;34000 Montpellier;532;5
28;nom27;13000 Marseille;354;14
29;nom28;34000 Montpellier;622;33
30;nom29;13000 Marseille;785;84
31;nom30;13000 Marseille;278;14
32;nom31;69000 Lyon;917;73
33;nom32;06000 Nice;983;2
34;nom33;06000 Nice;470;57
35;nom34;69000 Lyon;915;56
36;nom35;59000 Lille;162;8
37;nom36;06000 Nice;228;64
38;nom37;34000 Montpellier;578;28
39;nom38;59000 Lille;154;94
40;nom39;67000 Strasbourg;317;34
41;nom40;59000 Lille;739;33
42;nom41;75000 Paris;860;32
43;nom42;33000 Bordeaux;803;25
44;nom43;06000 Nice;74;75
45;nom44;44000 Nantes;825;64
46;nom45;75000 Paris;260;16
47;nom46;69000 Lyon;355;86
48;nom47;06000 Nice;258;76
49;nom48;59000 Lille;327;44
50;nom49;75000 Paris;937;87
51;nom50;06000 Nice;602;100
52;nom51;31000 Toulouse;88;55
53;nom52;67000 Strasbourg;669;50
54;nom53;33000 Bordeaux;102;34
55;nom54;44000 Nantes;794;59
56;nom55;75000 Paris;654;18
57;nom56;06000 Nice;992;94
58;nom57;69000 Lyon;54;10
59;nom58;13000 Marseille;392;91
60;nom59;44000 Nantes;611;33
61;nom60;69000 Lyon;68;37
62;nom61;31000 Toulouse;261;41
63;nom62;34000 Montpellier;708;98
64;nom63;44000 Nantes;898;28
65;nom64;06000 Nice;832;12
66;nom65;31000 Toulouse;815;2
67;nom66;06000 Nice;980;1
68;nom67;69000 Lyon;204;75
69;nom68;34000 Montpellier;506;11
70;nom69;31000 Toulouse;643;6
71;nom70;13000 Marseille;944;85
72;nom71;33000 Bordeaux;605;73
73;nom72;44000 Nantes;795;24
74;nom73;13000 Marseille;297;97
75;nom74;33000 Bordeaux;349;48
76;nom75;34000 Montpellier;713;19
77;nom76;69000 Lyon;606;18
78;nom77;59000 Lille;174;96
79;nom78;31000 Toulouse;992;93
80;nom79;69000 Lyon;860;85
81;nom80;75000 Paris;501;37
82;nom81;75000 Paris;860;60
83;nom82;69000 Lyon;743;9
84;nom83;75000 Paris;188;50
85;nom84;33000 Bordeaux;178;70
86;nom85;44000 Nantes;325;10
87;nom86;59000 Lille;165;6
88;nom87;44000 Nantes;386;49
89;nom88;69000 Lyon;250;88
90;nom89;31000 Toulouse;679;10
91;nom90;75000 Paris;673;83
92;nom91;06000 Nice;172;90
93;nom92;69000 Lyon;188;77
94;nom93;34000 Montpellier;901;73
95;nom94;33000 Bordeaux;234;78
96;nom95;67000 Strasbourg;803;9
97;nom96;75000 Paris;144;89
98;nom97;44000 Nantes;528;70
99;nom98;34000 Montpellier;67;64
100;nom99;75000 Paris;122;62
